v0_status,nodeid,test_file,classification,fresh_file_result,grouped_result,causal_matrix_result,evidence_id
failed,tests/test_dc3b_credential_recovery_backend.py::test_forgot_password_neutral_for_existing_and_nonexistent_email,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_token_stored_hash_only_raw_never_persisted,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_with_valid_token_updates_password,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_invalid_states_fail_neutrally,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_query_string_token_rejected,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_updates_both_tenant_copies,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_login_succeeds_after_reset_with_multiple_copies,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_no_internal_ids_tokens_hashes_in_public_responses,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_dc3b_credential_recovery_backend.py::test_r1_after_reset_both_copies_login_and_select,tests/test_dc3b_credential_recovery_backend.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6k_production_smtp_email_delivery.py::test_production_missing_smtp_config_returns_503_and_writes_no_rows,tests/test_u6k_production_smtp_email_delivery.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6k_production_smtp_email_delivery.py::test_production_smtp_success_creates_hash_only_registration_and_token,tests/test_u6k_production_smtp_email_delivery.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6k_production_smtp_email_delivery.py::test_production_smtp_send_failure_rolls_back_registration_and_token,tests/test_u6k_production_smtp_email_delivery.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6k_production_smtp_email_delivery.py::test_test_environment_still_uses_dev_sink_without_smtp,tests/test_u6k_production_smtp_email_delivery.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6k_production_smtp_email_delivery.py::test_duplicate_live_email_in_production_is_neutral_and_sends_no_extra_smtp,tests/test_u6k_production_smtp_email_delivery.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6l_email_verified_onboarding_orchestration.py::test_verify_email_provisions_tenant_issues_setup_token_and_sends_owner_email,tests/test_u6l_email_verified_onboarding_orchestration.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6l_email_verified_onboarding_orchestration.py::test_emailed_setup_token_can_create_first_admin_rbac_and_status_is_public_active,tests/test_u6l_email_verified_onboarding_orchestration.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6l_email_verified_onboarding_orchestration.py::test_repeated_internal_orchestration_does_not_duplicate_tenant_token_or_admin_rows,tests/test_u6l_email_verified_onboarding_orchestration.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6l_email_verified_onboarding_orchestration.py::test_reused_verification_token_remains_neutral_and_does_not_duplicate_orchestration,tests/test_u6l_email_verified_onboarding_orchestration.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6l_email_verified_onboarding_orchestration.py::test_production_missing_owner_setup_smtp_config_fails_closed,tests/test_u6l_email_verified_onboarding_orchestration.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6l_email_verified_onboarding_orchestration.py::test_production_owner_setup_smtp_failure_fails_closed_with_retry_anchor,tests/test_u6l_email_verified_onboarding_orchestration.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6l_email_verified_onboarding_orchestration.py::test_real_bootstrap_owner_setup_smtp_failure_persists_anchor_and_retry_reconciles,tests/test_u6l_email_verified_onboarding_orchestration.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
