v0_status,nodeid,test_file,classification,fresh_file_result,grouped_result,causal_matrix_result,evidence_id
failed,tests/test_u6i0_owner_credential_setup_contract.py::test_contract_locks_public_endpoint_disclosure_boundary,tests/test_u6i0_owner_credential_setup_contract.py,STALE_TEST_CONTRACT,failed_stale_contract,failed_stale_contract,not_applicable,STALE-ENDPOINT-ABSENCE-001
failed,tests/test_u6i0_owner_credential_setup_contract.py::test_branch_changes_only_contract_doc_and_static_test,tests/test_u6i0_owner_credential_setup_contract.py,STALE_TEST_CONTRACT,failed_stale_contract,failed_stale_contract,not_applicable,STALE-BRANCH-SCOPE-001
failed,tests/test_u6i0_owner_credential_setup_contract.py::test_no_runtime_code_files_changed_in_contract_branch,tests/test_u6i0_owner_credential_setup_contract.py,STALE_TEST_CONTRACT,failed_stale_contract,failed_stale_contract,not_applicable,STALE-BRANCH-SCOPE-002
failed,tests/test_u6i1_owner_credential_setup_schema.py::test_alembic_head_is_owner_credential_setup_tokens,tests/test_u6i1_owner_credential_setup_schema.py,STALE_TEST_CONTRACT,failed_stale_contract,failed_stale_contract,not_applicable,STALE-HEAD-001
failed,tests/test_u6i1_owner_credential_setup_schema.py::test_branch_changes_only_allowed_schema_foundation_files,tests/test_u6i1_owner_credential_setup_schema.py,STALE_TEST_CONTRACT,failed_stale_contract,failed_stale_contract,not_applicable,STALE-BRANCH-SCOPE-003
failed,tests/test_u6i2_owner_credential_setup_token_issue.py::test_active_provisioned_registration_issues_hash_only_setup_token,tests/test_u6i2_owner_credential_setup_token_issue.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6i2_owner_credential_setup_token_issue.py::test_duplicate_issue_returns_existing_without_creating_second_active_token,tests/test_u6i2_owner_credential_setup_token_issue.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6i2_owner_credential_setup_token_issue.py::test_expired_prior_token_allows_new_setup_token_issue,tests/test_u6i2_owner_credential_setup_token_issue.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6i2_owner_credential_setup_token_issue.py::test_used_or_revoked_prior_token_allows_new_setup_token_issue[used_at0-None],tests/test_u6i2_owner_credential_setup_token_issue.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6i2_owner_credential_setup_token_issue.py::test_used_or_revoked_prior_token_allows_new_setup_token_issue[None-revoked_at1],tests/test_u6i2_owner_credential_setup_token_issue.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
