v0_status,nodeid,test_file,classification,fresh_file_result,grouped_result,causal_matrix_result,evidence_id
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_email_verified_registration_can_be_claimed_and_becomes_provisioning,tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_blocked_statuses_do_not_mutate[pending_email_verification],tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_blocked_statuses_do_not_mutate[expired],tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_blocked_statuses_do_not_mutate[cancelled],tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_blocked_statuses_do_not_mutate[failed],tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_active_registration_with_assignment_returns_idempotent_existing_result,tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_rollback_leaves_claimed_registration_state_unchanged,tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_public_auth_routes_do_not_call_tenant_provisioning,tests/test_u6h1_tenant_provisioning_service_skeleton.py,STALE_TEST_CONTRACT,failed_stale_boundary,failed_stale_boundary,not_applicable,STALE-U6L-BOUNDARY-001
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_claim_has_no_schema_user_role_rbac_or_wholesaler_side_effects,tests/test_u6h1_tenant_provisioning_service_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h2_tenant_provisioning_wholesaler_schema.py::test_provisioning_registration_creates_one_wholesaler_and_bootstrapped_schema,tests/test_u6h2_tenant_provisioning_wholesaler_schema.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
failed,tests/test_u6h2_tenant_provisioning_wholesaler_schema.py::test_active_existing_registration_returns_idempotent_result,tests/test_u6h2_tenant_provisioning_wholesaler_schema.py,TEST_INFRASTRUCTURE,passed,passed,failed_different_event_loop,TI-LOOP-001
