finding_id,phase,category,severity,description,evidence,status
F1,Phase 1,Proof Gate,INFO,"Candidate == remote branch tip","8c7e8477 == origin/zcode/dc12r1-mvp-l1-j1-h2-b-r2-r4-r2-b1-r3-semantic-neutrality-canonicalization-2026-08-25",PASS
F2,Phase 1,Proof Gate,INFO,"candidate^ == cb352079 (B1-R2 candidate)","git rev-parse 8c7e8477^ = cb352079",PASS
F3,Phase 1,Proof Gate,INFO,"B1-R3 delta exactly 9 authorized files in j1h2b-forgot-reset/","git diff --name-status cb352079..8c7e8477 = 9 files",PASS
F4,Phase 1,Proof Gate,INFO,"Product paths byte-identical to 8c462170","git diff --name-only 8c462170..8c7e8477 shows only j1h2b-forgot-reset/ files",PASS
F5,Phase 1,Proof Gate,INFO,"Harness contains exactly 25 files","git ls-tree -r --name-only 8c7e8477 | Where-Object { $_ -like 'j1h2b-forgot-reset/*' } | Measure-Object = 25",PASS
F6,Phase 1,Proof Gate,INFO,"V2/V3 historical evidence branches unmodified","Branches exist but not checked out with modifications",PASS
F7,Phase 2,Protocol Authenticity,INFO,"Raw-body byte equality explicitly marked SUPERSEDED","R4-NEUTRALITY-PROTOCOL-CORRECTION.md + neutrality-core.ts comments",PASS
F8,Phase 2,Protocol Authenticity,INFO,"Only top-level timestamp VALUE is exempt","TIMESTAMP_SENTINEL replaces timestamp value; key presence/type/format still validated",PASS
F9,Phase 2,Protocol Authenticity,INFO,"Top-level key set exactly {success, data, message, timestamp}","NEUTRAL_ENVELOPE_KEYS = ['success', 'data', 'message', 'timestamp']; present.length !== expected.length throws",PASS
F10,Phase 2,Protocol Authenticity,INFO,"success === true","envelope.success !== true throws success_value",PASS
F11,Phase 2,Protocol Authenticity,INFO,"data exactly empty object","typeof data !== 'object' || data === null || Array.isArray(data) || Object.keys(data).length !== 0 throws data_nonempty",PASS
F12,Phase 2,Protocol Authenticity,INFO,"message type correct, enters canonical payload, pinned to existing neutral constant","typeof envelope.message === 'string'; message in canonical JSON; NEUTRAL_MESSAGE_CONSTANT = 'Password reset result is not disclosed through this endpoint.'",PASS
F13,Phase 2,Protocol Authenticity,INFO,"timestamp must exist, be string, and Date.parse parseable","timestamp_missing / timestamp_not_string / timestamp_unparseable checks",PASS
F14,Phase 2,Protocol Authenticity,INFO,"Extra fields (accountExists/eligible/userId/tenant/request_id) fail closed","present.length !== expected.length throws top_level_key_set; G3 probe validates all 5 probes",PASS
F15,Phase 2,Protocol Authenticity,INFO,"No generic key deletion, filter, regex blacklist, or recursive ignore","Source review confirms no delete/.filter/regex blacklist/recursive ignore in neutrality-core.ts",PASS
F16,Phase 2,Protocol Authenticity,INFO,"Canonical serialization uses fixed field order and timestamp sentinel","JSON.stringify({ success, data: {}, message, timestamp: TIMESTAMP_SENTINEL })",PASS
F17,Phase 2,Protocol Authenticity,INFO,"F3/F4/F5 status, canonical SHA, canonical length, visible text all identical","sameCanonicalFingerprint compares status + canonicalSha256 + canonicalLengthBytes; pinnedMessageMatches compares message",PASS
F18,Phase 2,Protocol Authenticity,INFO,"Does not claim to close statistical timing side channel","No such claim in source or reports",PASS
F19,Phase 3,Implementation Authenticity,INFO,"check-neutrality.mjs transpiles and executes real neutrality-core.ts","ts.transpileModule on src/neutrality-core.ts + dynamic import",PASS
F20,Phase 3,Implementation Authenticity,INFO,"captureForgotFingerprint reads raw body only in local scope","const body = await response.text() in route handler local scope; canonicalizeNeutralEnvelope receives bodyText",PASS
F21,Phase 3,Implementation Authenticity,INFO,"State retains only canonical fingerprint","CanonicalFingerprint interface: status, message, canonicalSha256, canonicalLengthBytes only",PASS
F22,Phase 3,Implementation Authenticity,INFO,"Error output contains only fixed category/field names","NeutralEnvelopeError message = `neutral envelope contract violation: ${category}`; category is fixed union type",PASS
F23,Phase 3,Implementation Authenticity,INFO,"F3/F4/F5 all execute pinnedMessageMatches","All three nodes call pinnedMessageMatches(fingerprint)",PASS
F24,Phase 3,Implementation Authenticity,INFO,"F4 and F5 both execute sameCanonicalFingerprint against F3","F4: sameFingerprint(f3, f4); F5: sameFingerprint(f3, f5)",PASS
