id,kind,status,detail,hash_algorithm,hash,path_relative_to_evidence_root
R1-01,verdict,STOP,"VOID_ENVIRONMENT_PRECHECK; executor precheck-harness extraction bug (NameError from shell/Python quote nesting); environment substantively compliant on first examination",,,
R1-02,counter,recorded,"formal_pytest old=1 this_round=0 cumulative=1; test_bodies cumulative=0; collect old=1 this=1; config_checks this=2 rc=0; provisioning old=1 this=1 rc=0; runtime_prechecks this=1 rc=1; PREPARATION_RED=0",,,
R1-03,identity,recorded,"candidate e0a6363958142ecfbfc48f68cce73fb3a6c32349 (Git commit object ID); parent ae8418d20c65b8eff27b6c0256aa6b668be6d3ed; R1 parent c75d1f7e7aed8617321e233eade8b4884dbd3896; Kilo 22ba1059c1f018f8ca848b1beef785365b1dfc0a single parent == candidate",git-object-id,,
R1-04,gate,pass,"P0 proofs: remote tip==candidate post-fetch; 76ab895f..e0a63639=4 unique paths; ae8418d2..e0a63639=3 M paths; product/migrations/conftest/lockfile untouched",SHA-256,35b6a8edd285356a4de8ff7db476f3b246a6283be80edaa0791e7ad308d430b2,logs/p0_proof.log
R1-05,gate,pass,"prior V1 STOP_RECORD.md SHA-256 matches CTO-measured value 25625775a6fa27e356e7240c506ac53de786fbde837af463c6e1abf7232760c4",SHA-256,25625775a6fa27e356e7240c506ac53de786fbde837af463c6e1abf7232760c4,(prior round dir) STOP_RECORD.md
R1-06,gate,pass,"P1 CTO config_load_check.py (delivery verified 4221 bytes 0444) first run rc=0; 24 boolean checks true; 0 db connections; 0 migrations; 0 pytest",SHA-256,4d2e97b0801d1cc4c50052316650b650dce330af6c9af81a447d05f147b72335,scripts/config_load_check.py
R1-07,gate,pass,"P1 config check output (attempt 1, preparation phase)",SHA-256,33c937bd101f951e373d5f9443405eac83b03f25c82d07b143f61674bf2545cc,logs/config_check_p1_attempt1.json
R1-08,gate,pass,"freeze manifest (candidate/python/cwd/env/launcher/argv/ports frozen; zero post-freeze changes)",SHA-256,3a685183883c9577af3b2a0376e0b0ee8e1d58d3a70efe93d544f45911699e14,logs/freeze_manifest.md
R1-09,gate,pass,"P2 frozen config check rc=0 (identical output bytes to P1 run -> same env/config)",SHA-256,33c937bd101f951e373d5f9443405eac83b03f25c82d07b143f61674bf2545cc,logs/config_check_p2_frozen.json
R1-10,gate,pass,"P2 collect-only rc=0; exactly 21 nodes",SHA-256,9d7f0078611f7807bfcaf58c678f7da7d4e7f17609de2121f844708da2d17fcd,logs/collect_only_r1.log
R1-11,gate,pass,"21 nodeids archived (derived from archived collect log; no re-collection)",SHA-256,051781d7b092b9d58f4982bc861cb354b77db1d56224f2bfbc4fa6fb553600d5,logs/collect_nodeids_r1.txt
R1-12,gate,pass,"diff-check rc=0 both ranges; 4 files blob==file, UTF-8, 0 CR, 0 NUL",SHA-256,5114fade663d2c8300d81d1081c5f177d8f28abc1b27b60af9d3d7c507b3bb40,logs/static_gates_r1.log
R1-13,gate,pass,"detect-secrets canary rc=1 (3 findings, real detection); formal 4-path scan rc=0; baseline SHA-256 c8f3aa245b94d4f4b0242ae8c5a64fbf1f4716483baae91ad65f78735c0290e6 identical before/after",SHA-256,a37fa1c64a1956ca901596da8e69c6918fee598dcb589622d7e27f9c0167c634,logs/detect_secrets_r1.log
R1-14,gate,pass,"preparation record: env declarations (booleans only); port free; no .env/.env.test in worktree; toolchain matches prior freeze",SHA-256,5af4d00261537818c8a859269f5f7752b6e88ff4ce6d636d8e3f5768f65aef90,logs/preparation_record.md
